PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20182,376001000000.0,376001000000.0,244,30.0,0.0,7.0,0.0,7.0,5.0,22.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,3.0,4.0,0.0,399.0,2.0,0.0,0.0,0.0,1.0,429.0,1.0,1.0,1.0,0.0,0.0,0
20214,176001000000.0,176001000000.0,245,19.0,0.0,7.0,1.0,7.0,23.0,16.0,8.0,9.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.3333333333333335,1.0,3.0,11.0,1.0,4.0,0.0,0.0,0.0,281.0,2.0,1.0,0.0,0.0,3.0,321.0,1.0,1.0,2.0,0.0,0.0,0
20201,376001000000.0,376001000000.0,217,,10.0,7.0,1.0,7.0,23.0,16.0,8.0,8.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,3.0,11.0,2.0,4.0,3.0,4.0,1.0,66.0,2.0,0.0,1.0,0.0,0.0,92.0,1.0,1.0,1.0,0.0,0.0,0
20182,376001000000.0,376001000000.0,251,15.0,10.0,7.0,1.0,7.0,23.0,16.0,7.0,8.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,9.0,4.0,2.0,0.0,0.0,3.0,1.0,79.0,2.0,0.0,0.0,1.0,2.0,105.0,1.0,1.0,0.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,242,16.0,10.0,7.0,0.0,7.0,23.0,16.0,6.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,341.0,2.0,1.0,0.0,0.0,3.0,372.0,1.0,1.0,4.0,0.0,0.0,0
20214,176001000000.0,176001000000.0,277,16.0,10.0,7.0,1.0,7.0,23.0,20.0,9.0,10.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,8.0,0.0,4.0,3.0,1.0,1.0,357.0,2.0,1.0,0.0,0.0,3.0,383.0,1.0,1.0,5.0,0.0,0.0,0
20214,176001000000.0,176001000000.0,275,16.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,8.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,346.0,2.0,1.0,0.0,0.0,3.0,376.0,1.0,1.0,5.0,0.0,0.0,0
20202,176001000000.0,176001000000.0,238,25.0,0.0,7.0,1.0,7.0,23.0,16.0,7.0,9.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,4.0,0.0,4.0,1.0,362.0,2.0,1.0,0.0,0.0,3.0,389.0,1.0,1.0,2.0,0.0,0.0,0
20202,176001000000.0,176001000000.0,256,16.0,10.0,7.0,0.0,7.0,23.0,16.0,4.0,8.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,0.0,2.0,0.0,0.0,0.0,349.0,2.0,1.0,0.0,0.0,3.0,379.0,1.0,1.0,1.0,0.0,0.0,0
20222,276001000000.0,276001000000.0,259,16.0,10.0,7.0,0.0,7.0,23.0,16.0,4.0,8.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,324.0,2.0,1.0,0.0,0.0,3.0,464.0,0.0,0.0,5.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,222,19.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,8.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,1.0,1.0,0.0,0.0,348.0,2.0,1.0,0.0,0.0,3.0,378.0,1.0,1.0,1.0,0.0,0.0,0
20182,376001000000.0,376001000000.0,280,16.0,10.0,7.0,0.0,7.0,23.0,16.0,6.0,6.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,12.0,12.0,0.0,0.0,1.0,4.0,1.0,77.0,2.0,0.0,0.0,0.0,1.0,103.0,1.0,1.0,2.0,0.0,0.0,0
20194,176001000000.0,176001000000.0,274,16.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,9.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,9.0,12.0,0.0,0.0,2.0,0.0,0.0,293.0,2.0,1.0,0.0,0.0,3.0,331.0,1.0,1.0,4.0,0.0,0.0,0
20222,176001000000.0,176001000000.0,236,17.0,10.0,7.0,1.0,7.0,23.0,16.0,7.666666666666667,6.0,1.6666666666666667,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.3333333333333333,0.0,6.0,11.0,1.0,3.3333333333333335,2.6666666666666665,0.0,0.0,355.0,2.0,1.0,0.0,0.0,3.0,17.0,0.0,1.0,4.0,0.0,0.0,0
20202,176001000000.0,176001000000.0,275,17.0,10.0,7.0,1.0,7.0,23.0,16.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,2.0,1.0,0.0,0.0,316.0,2.0,1.0,0.0,0.0,3.0,349.0,1.0,1.0,1.0,0.0,0.0,0
20172,376001000000.0,376001000000.0,241,17.0,0.0,7.0,0.0,7.0,23.0,16.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,10.0,10.0,1.0,2.0,1.0,3.0,1.0,482.0,2.0,0.0,0.0,0.0,2.0,536.0,1.0,1.0,1.0,0.0,0.0,0
