ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_GLOBAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,edad,INSE,GLOBAL_CATEGORICO
9,2,1,20202,38455,0,2,0,18,76.0,12,76001.0,8,8,2,1,4,1,1,1,1,0,1,1,0,2,1,3,1,8,2,0,4,1,1,1,66282,176001020359,266,2,1,0,0,3,176001020359,290,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,234,2,3.0,1,16.0,57.3,0
9,2,0,20222,63042,0,2,0,18,76.0,12,76001.0,7,8,0,1,4,1,1,0,0,1,0,1,0,0,0,1,1,12,11,0,2,0,0,0,735092,176001002881,286,2,1,0,0,3,176001002881,307,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,181,1,3.0,1,16.0,47.4,0
9,2,1,20222,58818,0,2,0,18,76.0,12,76001.0,6,8,2,2,1,1,1,1,1,1,0,1,1,0,3,0,0,2,8,0,0,2,0,0,70052,376001020978,371,2,0,0,0,0,376001020978,401,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,234,2,3.0,1,17.0,55.9,0
9,2,1,20222,63153,0,2,0,18,76.0,12,76001.0,4,8,2,1,4,1,1,1,1,1,1,1,1,0,0,1,0,3,9,1,4,1,0,0,735092,176001002881,286,2,1,0,0,3,176001002881,307,1,1,5,76001,0,76,0,0,76001.0,11,25,76.0,192,2,3.0,1,15.0,54.2,0
9,2,0,20201,32783,0,2,0,18,76.0,12,76001.0,5,5,4,2,3,1,1,1,1,1,1,0,1,1,3,3,1,10,10,1,1,2,0,0,28985,476001038251,37,0,0,1,0,2,476001038251,53,1,0,0,76001,0,76,0,0,76001.0,11,25,76.0,245,3,3.0,1,16.0,79.2,0
9,2,0,20171,7466,0,2,0,18,76.0,12,76001.0,7,1,2,2,2,0,1,1,0,1,0,0,1,2,1,3,1,2,2,0,3,2,0,3,70086,376001013220,62,2,0,1,0,2,376001013220,81,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,197,2,3.0,1,17.0,52.4,0
9,2,1,20172,8716,0,2,0,18,76.0,12,76001.0,10,8,1,0,4,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,2,1,3,1,167874,276001011184,255,2,1,0,0,3,276001011184,430,1,0,4,76001,0,76,0,0,76001.0,11,25,76.0,271,2,2.0,1,17.0,59.1,0
9,2,0,20172,16238,0,2,0,18,76.0,12,76001.0,8,10,2,2,4,1,1,1,0,1,1,0,0,1,3,1,0,3,3,2,2,1,0,0,17681,176001001729,278,2,1,0,0,3,176001001729,301,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,279,2,3.0,1,14.0,56.5,0
9,2,1,20171,6671,0,2,0,18,76.0,12,76001.0,8,8,2,1,4,1,1,1,1,1,1,0,1,0,1,3,1,1,6,0,4,0,0,0,58727,376001028219,87,2,0,1,0,2,376001028219,108,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,268,2,3.0,1,16.0,61.0,0
9,2,0,20222,67472,0,2,0,18,76.0,12,76001.0,8,8,1,2,2,1,1,1,0,1,0,0,0,1,1,3,3,4,4,0,2,1,0,0,17897,176001004531,262,2,1,0,0,3,176001004531,286,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,268,2,3.0,1,16.0,54.6,0
