PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20182,376001000000.0,376001000000.0,280,16.0,10,7,0,7,23,16,6,6,1,1,4,1,1,0,0,1,0,1,0,0,3,3,1,12,12,0,0,1,4,1,77,2,0,0,0,1,103,1,1,2,0,0,0
20194,176001000000.0,176001000000.0,274,16.0,10,7,0,7,23,16,8,9,0,1,2,1,1,1,0,1,0,0,0,1,0,3,3,9,12,0,0,2,0,0,293,2,1,0,0,3,331,1,1,4,0,0,0
20222,176001000000.0,176001000000.0,236,17.0,10,7,1,7,23,16,8,8,1,1,4,1,1,1,1,1,0,0,0,0,0,3,0,6,11,1,0,1,0,0,355,2,1,0,0,3,17,0,1,4,0,0,0
20202,176001000000.0,176001000000.0,275,17.0,10,7,1,7,23,16,4,4,1,3,1,1,0,0,0,1,0,1,0,0,0,1,0,6,6,0,2,1,0,0,316,2,1,0,0,3,349,1,1,1,0,0,0
20172,376001000000.0,376001000000.0,241,17.0,0,7,0,7,23,16,0,0,2,1,4,1,1,1,1,1,0,0,0,2,3,1,0,10,10,1,2,1,3,1,482,2,0,0,0,2,536,1,1,1,0,0,0
20194,376001000000.0,376001000000.0,162,16.0,10,7,0,7,23,16,6,6,0,4,1,1,1,1,0,1,0,0,0,0,2,3,0,11,11,1,2,1,0,0,43,2,0,0,0,0,64,1,1,1,0,0,0
20222,376001000000.0,376001000000.0,151,16.0,10,7,1,7,23,16,8,8,0,1,1,1,1,1,1,1,0,1,0,0,2,1,2,11,11,0,2,3,0,0,388,2,0,0,0,3,417,1,1,1,0,0,0
20182,176001000000.0,176001000000.0,178,16.0,10,7,0,7,23,16,6,6,0,1,4,1,0,1,1,1,0,1,0,0,3,3,3,12,9,0,0,1,0,0,293,2,1,0,0,3,331,1,1,4,0,0,0
20222,176001000000.0,176001000000.0,175,16.0,10,7,1,7,23,16,6,6,1,1,5,1,0,1,0,0,0,0,0,0,2,0,2,0,11,1,4,2,0,0,366,2,1,0,0,3,393,1,1,3,0,0,0
20194,176001000000.0,176001000000.0,218,17.0,10,7,0,7,23,16,9,8,1,0,5,0,0,1,0,1,0,0,0,0,0,0,1,9,9,0,2,1,3,1,298,2,1,0,0,3,334,1,1,4,0,0,0
